buscoID	Status	ancestral	Status2	Status3
0at7088	Complete	M27	0	1
10001at7088	Complete	M8	0	1
10003at7088	Complete	M11	0	1
10006at7088	Complete	M19	0	1
1000at7088	Complete	M25	0	1
10013at7088	Complete	M10	0	1
10014at7088	Complete	M1	0	1
10015at7088	Complete	M7	0	1
10017at7088	Complete	M19	0	1
10020at7088	Complete	M8	0	1
10023at7088	Complete	M10	0	1
10024at7088	Complete	M6	0	1
10025at7088	Complete	M25	0	1
10029at7088	Complete	M17	0	1
1003at7088	Complete	M4	0	1
10043at7088	Complete	M14	0	1
10048at7088	Complete	M8	0	1
1004at7088	Complete	M3	0	1
10056at7088	Complete	M2	0	1
10057at7088	Complete	M1	0	1
10059at7088	Complete	M12	0	1
1005at7088	Complete	M6	0	1
10062at7088	Complete	M28	0	1
10066at7088	Complete	M29	0	1
10067at7088	Complete	M3	0	1
10068at7088	Complete	M4	0	1
10076at7088	Complete	M7	0	1
10079at7088	Complete	M6	0	1
1007at7088	Complete	M16	0	1
10082at7088	Complete	M16	0	1
10086at7088	Complete	M22	0	1
10087at7088	Complete	M16	0	1
10090at7088	Complete	M4	0	1
10093at7088	Complete	M20	0	1
10096at7088	Complete	M6	0	1
10097at7088	Complete	M15	0	1
1009at7088	Complete	M3	0	1
10101at7088	Complete	MZ	0	1
10102at7088	Complete	M6	0	1
10107at7088	Complete	M26	0	1
10109at7088	Complete	M19	0	1
1010at7088	Complete	M4	0	1
10110at7088	Complete	M16	0	1
10114at7088	Complete	M15	0	1
10118at7088	Complete	M8	0	1
1011at7088	Complete	M10	0	1
10121at7088	Complete	M8	0	1
10124at7088	Complete	M4	0	1
10125at7088	Complete	M6	0	1
10127at7088	Complete	M8	0	1
10139at7088	Complete	M12	0	1
1013at7088	Complete	M1	0	1
10142at7088	Complete	M30	0	1
10145at7088	Complete	M18	0	1
10146at7088	Complete	M10	0	1
10149at7088	Complete	M6	0	1
1014at7088	Complete	M4	0	1
10150at7088	Complete	M24	0	1
10151at7088	Complete	M9	0	1
10153at7088	Complete	M16	0	1
10157at7088	Complete	M15	0	1
10160at7088	Complete	M19	0	1
10163at7088	Complete	M27	0	1
10164at7088	Complete	M17	0	1
10171at7088	Complete	M30	0	1
10173at7088	Complete	M16	0	1
10174at7088	Complete	M8	0	1
10178at7088	Complete	M2	0	1
10179at7088	Complete	M18	0	1
10180at7088	Complete	M11	0	1
10181at7088	Complete	M4	0	1
10183at7088	Complete	M4	0	1
10186at7088	Complete	M3	0	1
10188at7088	Complete	M4	0	1
10189at7088	Complete	M14	0	1
10192at7088	Complete	M7	0	1
10193at7088	Complete	M15	0	1
10199at7088	Complete	M11	0	1
101at7088	Complete	MZ	0	1
10202at7088	Complete	MZ	0	1
10206at7088	Complete	M23	0	1
10208at7088	Complete	M11	0	1
1020at7088	Complete	M16	0	1
10212at7088	Complete	M18	0	1
10213at7088	Complete	MZ	0	1
10214at7088	Complete	M20	0	1
10215at7088	Complete	M19	0	1
10219at7088	Complete	M10	0	1
1021at7088	Complete	M12	0	1
10220at7088	Complete	M10	0	1
10224at7088	Complete	M18	0	1
10225at7088	Complete	M24	0	1
10235at7088	Complete	M5	0	1
10238at7088	Complete	M9	0	1
10239at7088	Complete	M13	0	1
10240at7088	Complete	M5	0	1
10243at7088	Complete	M9	0	1
10244at7088	Complete	M3	0	1
10248at7088	Complete	M7	0	1
10250at7088	Complete	M10	0	1
10255at7088	Complete	M1	0	1
10256at7088	Complete	M20	0	1
10259at7088	Complete	M18	0	1
10261at7088	Complete	M9	0	1
10267at7088	Complete	M9	0	1
10268at7088	Complete	M22	0	1
10269at7088	Complete	M2	0	1
1026at7088	Complete	M15	0	1
10270at7088	Complete	M12	0	1
1027at7088	Complete	M2	0	1
10285at7088	Complete	M8	0	1
10287at7088	Complete	M16	0	1
10289at7088	Complete	M24	0	1
10291at7088	Complete	M5	0	1
10292at7088	Complete	M1	0	1
10294at7088	Complete	M20	0	1
10296at7088	Complete	M9	0	1
10299at7088	Complete	M10	0	1
10304at7088	Complete	M16	0	1
10308at7088	Complete	M13	0	1
10313at7088	Complete	M20	0	1
10316at7088	Complete	M12	0	1
10318at7088	Complete	M5	0	1
10319at7088	Complete	M18	0	1
10326at7088	Complete	M10	0	1
1032at7088	Complete	MZ	0	1
10331at7088	Complete	M27	0	1
10333at7088	Complete	M21	0	1
10334at7088	Complete	M9	0	1
10335at7088	Complete	M4	0	1
1033at7088	Complete	M5	0	1
10341at7088	Complete	M18	0	1
10343at7088	Complete	M12	0	1
10345at7088	Complete	M5	0	1
10346at7088	Complete	M3	0	1
10347at7088	Complete	M4	0	1
10348at7088	Complete	M3	0	1
10351at7088	Complete	M14	0	1
10352at7088	Complete	M16	0	1
10359at7088	Complete	M15	0	1
10360at7088	Complete	M20	0	1
10367at7088	Complete	M6	0	1
10368at7088	Complete	M21	0	1
10369at7088	Complete	M11	0	1
10374at7088	Complete	M25	0	1
10377at7088	Complete	M18	0	1
10379at7088	Complete	M21	0	1
1037at7088	Complete	M15	0	1
10386at7088	Complete	M10	0	1
10387at7088	Complete	M1	0	1
1038at7088	Complete	MZ	0	1
10391at7088	Complete	M23	0	1
10392at7088	Complete	M4	0	1
10396at7088	Complete	M7	0	1
10397at7088	Complete	M2	0	1
10398at7088	Complete	M8	0	1
103at7088	Complete	M20	0	1
10401at7088	Complete	M16	0	1
10406at7088	Complete	M1	0	1
10410at7088	Complete	M11	0	1
10414at7088	Complete	M22	0	1
10415at7088	Complete	M21	0	1
10418at7088	Complete	MZ	0	1
10423at7088	Complete	M13	0	1
10424at7088	Complete	M14	0	1
10425at7088	Complete	M4	0	1
10428at7088	Complete	M10	0	1
10429at7088	Complete	MZ	0	1
10431at7088	Complete	M1	0	1
10432at7088	Complete	M25	0	1
10437at7088	Complete	M8	0	1
10444at7088	Complete	M24	0	1
10445at7088	Complete	M1	0	1
10447at7088	Complete	M5	0	1
10452at7088	Complete	M6	0	1
10456at7088	Complete	M1	0	1
10457at7088	Complete	M21	0	1
10459at7088	Complete	M3	0	1
10460at7088	Complete	M4	0	1
10462at7088	Complete	M3	0	1
10474at7088	Complete	M19	0	1
10476at7088	Complete	M4	0	1
10479at7088	Complete	M24	0	1
1047at7088	Complete	M10	0	1
10480at7088	Complete	M24	0	1
10482at7088	Complete	M12	0	1
10489at7088	Complete	M14	0	1
10494at7088	Complete	M19	0	1
10496at7088	Complete	M9	0	1
10502at7088	Complete	M8	0	1
10506at7088	Complete	M7	0	1
10508at7088	Complete	M1	0	1
1050at7088	Complete	M7	0	1
10511at7088	Complete	M14	0	1
10512at7088	Complete	M18	0	1
10513at7088	Complete	M7	0	1
10516at7088	Complete	M6	0	1
10517at7088	Complete	M30	0	1
10521at7088	Complete	M1	0	1
10527at7088	Complete	M12	0	1
10528at7088	Complete	M7	0	1
10529at7088	Complete	M16	0	1
10530at7088	Complete	M22	0	1
10533at7088	Complete	M22	0	1
10536at7088	Complete	M3	0	1
10538at7088	Complete	M26	0	1
1053at7088	Complete	M16	0	1
10541at7088	Complete	M9	0	1
10542at7088	Complete	M1	0	1
10543at7088	Complete	M18	0	1
10546at7088	Complete	M9	0	1
10547at7088	Complete	M15	0	1
10549at7088	Complete	M25	0	1
10550at7088	Complete	M10	0	1
10553at7088	Complete	M6	0	1
10556at7088	Complete	M19	0	1
10558at7088	Complete	M22	0	1
10559at7088	Complete	M30	0	1
10562at7088	Complete	M23	0	1
